EWST
EGAS
MBNC
SABC
BTFG
ACF
IROQ
ATCS
DPAC
FIGIA
SCTTA
SCTT
CCUR
IFRS
DOCX
AEPI
JJSF
DLS
DGSE
DGC
PLXS
GGUY
FSVB
FBCP
POCI
XIOX
ATCM
CAU
AATI
RMCF
CTYA
HGR
NMSB
NMIL
AMT
FSCNY
ENSO
TTI
ADX
ABMC
FCM
AB
VWRX
STRS
SUNW
JAVA
MHCO
UICI
UCI
BUTI
ATGI
KIDE
KDE
TUES
FIX
AMCE
ALRN
ORCL
MSFT
SNDT
SDS
AADR
AKLM
HDG
ACUR
TW
PJC
MSBK
MDBK
AK
OVWV
OV
PBFI
LAMN
DTEK
NFSL
FSTC
AYP
AYE
TROW
SRCO
IMTC
ONCS
OSIP
NICE
ALD
HON
EMC
TRAD
EBSI
TLII
GRV
AGLS
ADTI
AH
ELGT
NSBK
AMRC
SAND
AMX
XRIT
RYFL
BARY
JMCG
FEDM
DMCO
GBFE
RCSB
AKRN
AKN
AKRX
TECD
MRLL
HPLX
MSCA
SOMR
CTEXB
CTCOB
ARBR
RGEN
AT
LSBX
FUND
WES
ATVC
SIGN
XCED
AFPC
BWC
BWXT
CIS
AMB
FO
BEAM
ANDB
CBNH
ESBK
ABC
FOTO
BVFS
BVCC
BVC
GLK
BWINB
TRFI
PRCC
UDET
GTOS
MRCO
INDB
DMC
DSS
VERT
MLOG
DGSI
TSTF
DLHC
TCEL
AVAN
CLDX
SIGM
MASB
TKLC
SNTKY
SNTK
WTI
AUTO
BRDL
AIM
ATI
HGIC
HAVTA
HVT
NHTB
LSBG
LLTC
CY
PMCP
AMFI
MTIK
MBSI
TMP
CTBK
SKAN
BCP
BCPC
AMO
GENZ
JBAK
CMAL
HANA
SOMA
XOMA
APOL
AMTY
ABBK
IMDC
INF
LINN
FUTR
ADPT
SXCL
DJCO
ARI
MALL
AVDL
NAVI
BUTL
AVM
AMAG
AR
TSBK
CLZR
TCB
TCF
NSSX
ASTE
CYTO
RUDY
ATCT
AGIS
TREN
TWK
COSCB
NAVG
WERN
LEAF
T
TMN
IRN
DINE
DOSE
ALET
JMED
RLAB
GECM
ROYL
ASAA
SKYW
AILP
SUND
RBCO
LA
CELS
KLLM
FRPP
PATR
FRPH
PKA
BKCT
FHPC
BFEN
AQS
CEMX
BFSI
SOSA
AME
DIBK
CGNE
REFR
WRNB
DYTM
SHOE
ASR
WSTNA
AD
ALGI
NEOL
SWCB
AMWD
IBIN
MDCI
LIPO
TWMC
FDGT
ADM
ARONA
RNT
AAN
MVII
KITS
VIVO
MTLM
EDCO
SYNT
THI
APAT
CLFD
PDEX
GROV
FSBK
STAR
DG
ABY
SVRN
SOV
HRZB
ADLA
HVFD
ABRI
SERV
CFCX
EATS
DEVN
BNT
MDRX
ALTI
QUIP
GSBI
DME
PBNB
FEP
BNBC
FNBR
ARC
ACLE
WTS
GKI
ACME
AMI
PCES
WTBK
FRC
KORP
JWC
JWG
FAJ
FBAN
FNB
CSAR
SCOM
SMTH
VETX
HNBC
THRX
TGX
LAKE
DRNK
PTSI
AABC
VITC
MIDC
ACET
LXU
BRLI
CYAN
ARSN
IMCO
FSYS
IPUR
PULS
DWYR
UBMT
DRMD
CCMS
UICO
IFMX
ASCL
HRC
HLS
FISV
SUR
CHIK
TPOA
MANA
ATBC
LTEK
CSCI
CXC
CCA
ARMR
PFS
COFI
CF
PHD
CBLI
DC
MWAV
CHPS
BHY
BPAO
KTCO
CKE
ADAC
FTR
MWBX
HERS
MAJ
CNX
CEBK
DOCKS
SECX
SED
HEMA
FCNCA
ADGE
RELM
RWC
PBKB
BKSC
CAMD
BS
UCFC
SHOR
SWD
SGI
AMRI
FFPC
EACO
UF
CGE
FSVP
BSBC
HTLD
DOCP
INSP
NOV
CDCO
SCOT
GNA
GAN
BU
KSE
CAFC
TSFG
BHAG
STRB
FMLY
USRV
CYTR
FUEL
AGII
FRSH
RENT
NSSB
PLAY
EPT
EPTO
OSUR
ECTL
BG
BWS
CAL
ADVC
PPH
FMS
SFBM
BC
RMCI
RHT
CWII
GROS
ANLT
DXYN
OVON
UIS
WSFS
NHES
ITIC
AFSC
SKC
PHBK
BKNG
BNK
UNI
CERN
FFKT
ALW
CTY
CMTY
CPT
FPWR
FPB
FLAG
ORG
PTZ
APTI
WBST
WBS
MAKL
MKL
BOSA
CCDC
CMVT
ENTG
ADIC
EPIC
DUSA
CEDR
UNII
CDR
FCIT
CEBC
AIPN
LECT
AXGN
CNR
REED
RJI
PLE
TBK
ANE
MDI
CPST
MMS
LEIX
TESI
CPC
BFO
AMBI
NXXI
AQTN
ITN
ATLI
CHKM
ACMP
WPZ
DCPI
FLIC
EMON
CMN
FBP
TRIB
NRES
FFSL
JUKE
BOXW
AMSI
GSOF
NWK
RTK
ROIX
WCOM
PMD
RFED
POWR
EPG
PRTK
CCTVY
CGUL
STSA
BIPL
FCGS
GASX
EAGL
EAG
EGFC
IFSL
DTLN
ASMIF
ASMI
FFRV
DELL
MRGO
DECO
FGHC
ITEL
USPI
SSAX
